app,route,methods,source,verification
sohamyoga-frontend,/api/admin/build-status,GET,sohamyoga-frontend/src/app/api/admin/build-status/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/call-requests,"GET,PATCH",sohamyoga-frontend/src/app/api/admin/call-requests/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/chat/agents,GET,sohamyoga-frontend/src/app/api/admin/chat/agents/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/chat/bots,GET,sohamyoga-frontend/src/app/api/admin/chat/bots/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/chat/conversations,GET,sohamyoga-frontend/src/app/api/admin/chat/conversations/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/chat/overview,GET,sohamyoga-frontend/src/app/api/admin/chat/overview/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/chatgpt-feedback,POST,sohamyoga-frontend/src/app/api/admin/chatgpt-feedback/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/classes/qr-checkin,GET,sohamyoga-frontend/src/app/api/admin/classes/qr-checkin/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/communication/health-score,GET,sohamyoga-frontend/src/app/api/admin/communication/health-score/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/competitors/price-index,GET,sohamyoga-frontend/src/app/api/admin/competitors/price-index/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/content-library/generate-campaign,POST,sohamyoga-frontend/src/app/api/admin/content-library/generate-campaign/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/contracts/[id]/generate-invoice,POST,sohamyoga-frontend/src/app/api/admin/crm/contracts/[id]/generate-invoice/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/contracts/[id],PATCH,sohamyoga-frontend/src/app/api/admin/crm/contracts/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/contracts,"GET,POST",sohamyoga-frontend/src/app/api/admin/crm/contracts/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/feedback-health-score,GET,sohamyoga-frontend/src/app/api/admin/crm/feedback-health-score/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/leads/[id],GET,sohamyoga-frontend/src/app/api/admin/crm/leads/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/leads/routing,POST,sohamyoga-frontend/src/app/api/admin/crm/leads/routing/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/leads/sla-breaches,GET,sohamyoga-frontend/src/app/api/admin/crm/leads/sla-breaches/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/opportunities/[id],PATCH,sohamyoga-frontend/src/app/api/admin/crm/opportunities/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/opportunities,"GET,POST",sohamyoga-frontend/src/app/api/admin/crm/opportunities/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/proposals/[id],PATCH,sohamyoga-frontend/src/app/api/admin/crm/proposals/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/crm/proposals,"GET,POST",sohamyoga-frontend/src/app/api/admin/crm/proposals/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/customer-360,GET,sohamyoga-frontend/src/app/api/admin/customer-360/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/customer-personas/[id],"PATCH,DELETE",sohamyoga-frontend/src/app/api/admin/customer-personas/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/customer-personas,"GET,POST",sohamyoga-frontend/src/app/api/admin/customer-personas/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/customer-responses/[id],PATCH,sohamyoga-frontend/src/app/api/admin/customer-responses/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/customer-responses,GET,sohamyoga-frontend/src/app/api/admin/customer-responses/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/customers,GET,sohamyoga-frontend/src/app/api/admin/customers/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/cx-dashboard,GET,sohamyoga-frontend/src/app/api/admin/cx-dashboard/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/demo-hub/dashboard-summary,GET,sohamyoga-frontend/src/app/api/admin/demo-hub/dashboard-summary/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/demo-hub/reports-summary,GET,sohamyoga-frontend/src/app/api/admin/demo-hub/reports-summary/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/demo-hub/run-job,POST,sohamyoga-frontend/src/app/api/admin/demo-hub/run-job/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/demo-hub/seed-demo-data,POST,sohamyoga-frontend/src/app/api/admin/demo-hub/seed-demo-data/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/demo-hub/simulation-step,GET,sohamyoga-frontend/src/app/api/admin/demo-hub/simulation-step/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/drip-sequences,"GET,POST",sohamyoga-frontend/src/app/api/admin/drip-sequences/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/emergency-contacts,GET,sohamyoga-frontend/src/app/api/admin/emergency-contacts/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/engagement/summary,GET,sohamyoga-frontend/src/app/api/admin/engagement/summary/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/executive,GET,sohamyoga-frontend/src/app/api/admin/executive/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/advocacy,GET,sohamyoga-frontend/src/app/api/admin/growth/advocacy/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/collaborations/[id],PATCH,sohamyoga-frontend/src/app/api/admin/growth/collaborations/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/funnel,GET,sohamyoga-frontend/src/app/api/admin/growth/funnel/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/github-scout,GET,sohamyoga-frontend/src/app/api/admin/growth/github-scout/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/influencers/[id]/collaborations,"GET,POST",sohamyoga-frontend/src/app/api/admin/growth/influencers/[id]/collaborations/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/influencers/authenticity,GET,sohamyoga-frontend/src/app/api/admin/growth/influencers/authenticity/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/influencers/compare,GET,sohamyoga-frontend/src/app/api/admin/growth/influencers/compare/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/influencers/discovery,GET,sohamyoga-frontend/src/app/api/admin/growth/influencers/discovery/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/growth/influencers,GET,sohamyoga-frontend/src/app/api/admin/growth/influencers/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/healthcare-dashboard,GET,sohamyoga-frontend/src/app/api/admin/healthcare-dashboard/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/connectors/[connectorId]/credentials,"GET,POST",sohamyoga-frontend/src/app/api/admin/ingestion/connectors/[connectorId]/credentials/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/connectors/[connectorId]/oauth/start,GET,sohamyoga-frontend/src/app/api/admin/ingestion/connectors/[connectorId]/oauth/start/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/connectors,GET,sohamyoga-frontend/src/app/api/admin/ingestion/connectors/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/google-drive/scan,POST,sohamyoga-frontend/src/app/api/admin/ingestion/google-drive/scan/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/local-folder/scan,POST,sohamyoga-frontend/src/app/api/admin/ingestion/local-folder/scan/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/oauth/google/callback,GET,sohamyoga-frontend/src/app/api/admin/ingestion/oauth/google/callback/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/oauth/slack/callback,GET,sohamyoga-frontend/src/app/api/admin/ingestion/oauth/slack/callback/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/slack/scan,POST,sohamyoga-frontend/src/app/api/admin/ingestion/slack/scan/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/sources/[sourceId]/refresh,POST,sohamyoga-frontend/src/app/api/admin/ingestion/sources/[sourceId]/refresh/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/sources/register,POST,sohamyoga-frontend/src/app/api/admin/ingestion/sources/register/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/ingestion/sources,GET,sohamyoga-frontend/src/app/api/admin/ingestion/sources/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/integrations/health,GET,sohamyoga-frontend/src/app/api/admin/integrations/health/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/invoices,"GET,POST,PATCH",sohamyoga-frontend/src/app/api/admin/invoices/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/landing-pages/generate,POST,sohamyoga-frontend/src/app/api/admin/landing-pages/generate/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/locations/[id]/status,PATCH,sohamyoga-frontend/src/app/api/admin/locations/[id]/status/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/locations,"GET,POST",sohamyoga-frontend/src/app/api/admin/locations/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/loyalty/rewards,"GET,POST",sohamyoga-frontend/src/app/api/admin/loyalty/rewards/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/loyalty/rules,"GET,POST",sohamyoga-frontend/src/app/api/admin/loyalty/rules/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/loyalty/transactions,GET,sohamyoga-frontend/src/app/api/admin/loyalty/transactions/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/[frameworkSlug]/[topicId],GET,sohamyoga-frontend/src/app/api/admin/market-research/[frameworkSlug]/[topicId]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/[frameworkSlug],GET,sohamyoga-frontend/src/app/api/admin/market-research/[frameworkSlug]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/health-score,GET,sohamyoga-frontend/src/app/api/admin/market-research/health-score/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/importance-satisfaction,GET,sohamyoga-frontend/src/app/api/admin/market-research/importance-satisfaction/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/projects/[id]/methodology-validation,GET,sohamyoga-frontend/src/app/api/admin/market-research/projects/[id]/methodology-validation/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/projects/[id]/questions,"GET,POST",sohamyoga-frontend/src/app/api/admin/market-research/projects/[id]/questions/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/projects/[id],PATCH,sohamyoga-frontend/src/app/api/admin/market-research/projects/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/projects/[id]/sampling,"GET,PATCH",sohamyoga-frontend/src/app/api/admin/market-research/projects/[id]/sampling/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/projects,"GET,POST",sohamyoga-frontend/src/app/api/admin/market-research/projects/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/questions/[id],DELETE,sohamyoga-frontend/src/app/api/admin/market-research/questions/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/respondent-quality,GET,sohamyoga-frontend/src/app/api/admin/market-research/respondent-quality/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research,GET,sohamyoga-frontend/src/app/api/admin/market-research/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/surveys/[id],"GET,PATCH",sohamyoga-frontend/src/app/api/admin/market-research/surveys/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/surveys/overview,GET,sohamyoga-frontend/src/app/api/admin/market-research/surveys/overview/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/surveys,"GET,POST",sohamyoga-frontend/src/app/api/admin/market-research/surveys/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/market-research/trends,GET,sohamyoga-frontend/src/app/api/admin/market-research/trends/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/marketing/budget-guardrails,"GET,POST",sohamyoga-frontend/src/app/api/admin/marketing/budget-guardrails/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/marketing/control-tower-objectives,"GET,PUT",sohamyoga-frontend/src/app/api/admin/marketing/control-tower-objectives/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/marketing/health-correlation,GET,sohamyoga-frontend/src/app/api/admin/marketing/health-correlation/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/marketing-calendar/[id],"PATCH,DELETE",sohamyoga-frontend/src/app/api/admin/marketing-calendar/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/marketing-calendar,"GET,POST",sohamyoga-frontend/src/app/api/admin/marketing-calendar/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/marketing-operations,GET,sohamyoga-frontend/src/app/api/admin/marketing-operations/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/mcp-gateway/execute,POST,sohamyoga-frontend/src/app/api/admin/mcp-gateway/execute/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/mcp-gateway,GET,sohamyoga-frontend/src/app/api/admin/mcp-gateway/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/module-assurance,"GET,POST,PUT",sohamyoga-frontend/src/app/api/admin/module-assurance/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/module-registry,"GET,PATCH",sohamyoga-frontend/src/app/api/admin/module-registry/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/notifications/overview,GET,sohamyoga-frontend/src/app/api/admin/notifications/overview/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/notifications/push-broadcast,POST,sohamyoga-frontend/src/app/api/admin/notifications/push-broadcast/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/onboarding/assistant,POST,sohamyoga-frontend/src/app/api/admin/onboarding/assistant/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/onboarding/import-leads,POST,sohamyoga-frontend/src/app/api/admin/onboarding/import-leads/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/onboarding/readiness,GET,sohamyoga-frontend/src/app/api/admin/onboarding/readiness/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/onboarding,GET,sohamyoga-frontend/src/app/api/admin/onboarding/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/operations-history,GET,sohamyoga-frontend/src/app/api/admin/operations-history/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/orders/[id]/exchange,POST,sohamyoga-frontend/src/app/api/admin/orders/[id]/exchange/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/orders/[id],"GET,PATCH",sohamyoga-frontend/src/app/api/admin/orders/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/orders,GET,sohamyoga-frontend/src/app/api/admin/orders/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/plans/[id]/poses,"GET,POST,DELETE",sohamyoga-frontend/src/app/api/admin/plans/[id]/poses/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/plans,"GET,POST,PATCH,DELETE",sohamyoga-frontend/src/app/api/admin/plans/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/platform-setup,"GET,PATCH",sohamyoga-frontend/src/app/api/admin/platform-setup/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/platform-setup/test-connection,POST,sohamyoga-frontend/src/app/api/admin/platform-setup/test-connection/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/pose-assessments,"GET,POST,DELETE",sohamyoga-frontend/src/app/api/admin/pose-assessments/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/quality-center,GET,sohamyoga-frontend/src/app/api/admin/quality-center/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/referral/campaigns,GET,sohamyoga-frontend/src/app/api/admin/referral/campaigns/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/referral/codes,GET,sohamyoga-frontend/src/app/api/admin/referral/codes/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/referral/list,GET,sohamyoga-frontend/src/app/api/admin/referral/list/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/referral/rewards/[id],POST,sohamyoga-frontend/src/app/api/admin/referral/rewards/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/referral/rewards,GET,sohamyoga-frontend/src/app/api/admin/referral/rewards/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/referral/summary,GET,sohamyoga-frontend/src/app/api/admin/referral/summary/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/credentials,"GET,POST",sohamyoga-frontend/src/app/api/admin/reputation/credentials/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/intelligence,GET,sohamyoga-frontend/src/app/api/admin/reputation/intelligence/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/oauth/callback,GET,sohamyoga-frontend/src/app/api/admin/reputation/oauth/callback/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/oauth/start,GET,sohamyoga-frontend/src/app/api/admin/reputation/oauth/start/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/reviews/[id]/draft-reply,POST,sohamyoga-frontend/src/app/api/admin/reputation/reviews/[id]/draft-reply/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/reviews/[id]/reply,POST,sohamyoga-frontend/src/app/api/admin/reputation/reviews/[id]/reply/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/reviews,GET,sohamyoga-frontend/src/app/api/admin/reputation/reviews/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/reputation/sync,POST,sohamyoga-frontend/src/app/api/admin/reputation/sync/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/schema-catalog,GET,sohamyoga-frontend/src/app/api/admin/schema-catalog/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/security/findings/[id],PATCH,sohamyoga-frontend/src/app/api/admin/security/findings/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/security/findings,GET,sohamyoga-frontend/src/app/api/admin/security/findings/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/security/scan,POST,sohamyoga-frontend/src/app/api/admin/security/scan/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/security/scanners,GET,sohamyoga-frontend/src/app/api/admin/security/scanners/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/security/scans/[id],GET,sohamyoga-frontend/src/app/api/admin/security/scans/[id]/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/security/scans,GET,sohamyoga-frontend/src/app/api/admin/security/scans/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/architecture,GET,sohamyoga-frontend/src/app/api/admin/seo/architecture/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/broken-links,GET,sohamyoga-frontend/src/app/api/admin/seo/broken-links/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/content-brief,GET,sohamyoga-frontend/src/app/api/admin/seo/content-brief/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/internal-linking,GET,sohamyoga-frontend/src/app/api/admin/seo/internal-linking/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/issue-priorities,GET,sohamyoga-frontend/src/app/api/admin/seo/issue-priorities/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/keyword-intelligence,GET,sohamyoga-frontend/src/app/api/admin/seo/keyword-intelligence/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/landing-page-factory,GET,sohamyoga-frontend/src/app/api/admin/seo/landing-page-factory/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/local-check,GET,sohamyoga-frontend/src/app/api/admin/seo/local-check/route.ts,Declared route only; method success and authorization unverified in this inventory
sohamyoga-frontend,/api/admin/seo/local-search-conversion,GET,sohamyoga-frontend/src/app/api/admin/seo/local-search-conversion/route.ts,Declared route only; method success and authorization unverified in this inventory
