id,scope,business_use_case,day_life_story,test_data,input,process_and_demo_steps,expected_output,known_gap_or_limit,historical_spec,manual_operation,pipeline_operation,agentic_operation,planned_test_ids,test_result,log_requirement
J11,Customer,Refund or return,A customer returns one purchase after affiliate payout.,"Paid order, partial/full refund, paid affiliate conversion","Paid order, partial/full refund, paid affiliate conversion",Request return; approve; record refund; reconcile commission,"Refund record, reversal and recovery balance with audit trail",Ledger isolated SQL passed; customer request-to-bank-refund not demonstrated,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J11-P,J11-N,J11-A,J11-R,J11-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J12,Customer,Referral and loyalty rewards,A member invites a friend who buys a qualifying membership.,"Two linked customers, active referral campaign, self-referral attempt","Two linked customers, active referral campaign, self-referral attempt",Share; click; register; qualify purchase; approve reward; redeem,Exactly one valid reward; duplicate/self-referral blocked,Referral browser tests historically pass; full purchase/reward/payout journey still unproven,customer-referral.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J12-P,J12-N,J12-A,J12-R,J12-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J13,Customer,Support and service recovery,A student reports a missed class and follows the resolution.,"Customer ticket, staff role, SLA and attachment","Customer ticket, staff role, SLA and attachment",Create ticket; assign; reply; escalate overdue; close; rate resolution,"Customer sees replies, SLA evidence and final resolution",Self-service tests largely skipped; delivery/SLA evidence needed,customer-self-service.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J13-P,J13-N,J13-A,J13-R,J13-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J14,Customer,Privacy export and deletion,A customer requests a copy of data and closes the account.,"Isolated customer with booking/history, retention rules","Isolated customer with booking/history, retention rules",Export; validate ownership; request deletion; apply retention; verify access revoked,"Complete export, audit and correct retention/deletion",Privacy case defined but zero orchestrated executions; do not use real customer data,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J14-P,J14-N,J14-A,J14-R,J14-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J15,Customer,Survey and feedback,A student receives a post-class survey and submits feedback once.,"Invitation token, completed booking, replay and expired token","Invitation token, completed booking, replay and expired token",Open survey; respond; replay; inspect NPS/admin report,One response linked to correct class and aggregate,NPS suite45 passes historically; external invitation delivery separate,nps-feedback.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J15-P,J15-N,J15-A,J15-R,J15-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J16,Customer,Learn from educational video,"A learner requests a lesson, reviews captions and resumes playback.","Course entitlement, uploaded sample, transcript, two lessons","Course entitlement, uploaded sample, transcript, two lessons",Open lesson; play; edit/review captions if permitted; save progress; resume,"Accessible lesson, correct progress and entitlement checks",Educational Video Studio has9 incomplete use cases; basic local media is separate app,yoga-education-content.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J16-P,J16-N,J16-A,J16-R,J16-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J17,Customer,Approve a marketing deliverable,A business customer reviews a reel or campaign before publication.,"Client tenant, draft media, revision, reviewer role","Client tenant, draft media, revision, reviewer role",Review; annotate; request revision; compare; approve exact version,Approval bound to asset version; publication receipt visible only when real,Self-service ads/acquisition flows incomplete; no full client review/publish demo,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J17-P,J17-N,J17-A,J17-R,J17-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J18,Admin,Onboard customer and teacher,An administrator connects identities to customer/student/teacher records.,"Isolated identities, tenant, duplicate onboarding request","Isolated identities, tenant, duplicate onboarding request",Invite; complete profile; approve teacher; verify all role dashboards,"Consistent identity links, permissions and usable demo fixtures",Teacher/student suite10 failures; demo customer lacks business record,teacher-student-onboarding.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J18-P,J18-N,J18-A,J18-R,J18-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J19,Admin,Schedule classes and manage capacity,A studio manager changes a recurring class across daylight saving time.,"Teacher, location, timezone, recurrence, existing bookings","Teacher, location, timezone, recurrence, existing bookings",Create series; change one occurrence; check collisions; notify affected students,"Correct local times, capacity and nonduplicated notifications",Fresh recurrence/DST/outage demo evidence missing,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J19-P,J19-N,J19-A,J19-R,J19-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J20,Admin,Catalog and inventory,Staff sell the final stocked item and process a return.,"Product, variants, stock1, concurrent orders","Product, variants, stock1, concurrent orders",Publish; order simultaneously; reserve stock; return; reconcile inventory,No overselling; reversible inventory movements with audit,Product/service domain has6 incomplete registry use cases,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J20-P,J20-N,J20-A,J20-R,J20-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J21,Admin,Pricing and promotions,Staff issue a limited-use coupon and approve an exceptional discount.,"Coupon cap, eligibility, threshold, approver role","Coupon cap, eligibility, threshold, approver role",Configure; redeem at boundary; reject invalid; approve exception,Correct totals and audit; no duplicate redemption,Pricing/promotion domain incomplete; full monetary-path test missing,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J21-P,J21-N,J21-A,J21-R,J21-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J22,Admin,Billing and dunning,A renewal fails and staff recover the subscription.,"Due subscription, invoice, failed-payment event, grace period","Due subscription, invoice, failed-payment event, grace period",Generate invoice; retry safely; send reminders; recover or suspend,"One invoice, correct entitlement/grace state and delivery evidence",Payment domain16 and billing domain6 incomplete use cases,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J22-P,J22-N,J22-A,J22-R,J22-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J23,Admin,Affiliate commission and payout,Staff reconcile referrals and record externally completed payouts.,"Enabled policy, click, paid order, refund, receipt reference","Enabled policy, click, paid order, refund, receipt reference",Configure policy; attribute; mark paid; record receipt; replay; refund,Numeric ledger reconciles; no duplicate earning/payout; negative recovery visible,232 unit/API tests and real temp-table flow passed; authenticated production full demo pending,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J23-P,J23-N,J23-A,J23-R,J23-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J24,Admin,Lead capture and assignment,An inquiry from a landing page is routed to an available salesperson.,"Campaign/UTM, consent, duplicate contact, two staff members","Campaign/UTM, consent, duplicate contact, two staff members",Submit; deduplicate; assign; breach SLA; convert to proposal,"One lead, correct owner/SLA, source and conversion evidence",Contact capture33 passes; funnel suite6 failures,contact-lead-capture.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J24-P,J24-N,J24-A,J24-R,J24-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J25,Admin,Campaign to delivered message,A marketer sends a consented campaign and handles an unsubscribe.,"Consent states, suppression list, seed audience, test mailbox","Consent states, suppression list, seed audience, test mailbox",Segment; draft; approve; dispatch; ingest delivery/bounce; unsubscribe,Recipient delivery receipt and suppression applied on retry,Email/drip delivery gated; queued is not sent,consent-automation.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J25-P,J25-N,J25-A,J25-R,J25-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J26,Admin,Social post to live receipt,A manager approves a LinkedIn company-page post.,"Connected test page, OAuth scopes, approved version, schedule","Connected test page, OAuth scopes, approved version, schedule",Connect; compose; approve; publish; retrieve external post; retry failure,Real platform post ID/URL and synchronized status,LinkedIn credentials absent at prior audit; verify before live publication,social-scheduler.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J26-P,J26-N,J26-A,J26-R,J26-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J27,Admin,Classified listing and inquiry,Staff post a Kijiji listing and track a customer response.,"Approved listing, images, authorized account, manual receipt","Approved listing, images, authorized account, manual receipt",Prepare; export; manually publish; record URL; enter inquiry; close followup,Traceable listing-to-lead history; manual steps clearly labeled,No verified Kijiji posting API; Operations Center handoff is manual,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J27-P,J27-N,J27-A,J27-R,J27-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J28,Admin,Paid advertising and conversion,A marketer launches a small approved ad campaign and reconciles spend.,"Sandbox ad account, budget cap, creative, conversion event","Sandbox ad account, budget cap, creative, conversion event",Approve; create campaign; monitor spend; pause; reconcile conversion,"Provider IDs, bounded spend and real metrics",Provider-neutral CRUD exists; Google Ads API adapter registry not built,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J28-P,J28-N,J28-A,J28-R,J28-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J29,Admin,Video and reel production,An editor turns source media into an approved educational reel.,"Authorized audio/video, script, portrait/landscape specs, captions","Authorized audio/video, script, portrait/landscape specs, captions",Ingest; transcribe; review; render; retry worker; approve version; export,"Playable MP4, aligned/reviewed captions, provenance and version history",Local basic transcription/text-card rendering works; full timeline/editor/publish pipeline incomplete,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J29-P,J29-N,J29-A,J29-R,J29-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J30,Admin,SEO and attribution reporting,A manager sees which campaign led to a purchase.,"UTM link, visit, lead, paid conversion, reporting window","UTM link, visit, lead, paid conversion, reporting window",Create link; visit; convert; aggregate; compare raw events and report,Consistent source attribution and auditable revenue totals,On-page/UTM claimed real; multi-touch and external rankings unproven,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J30-P,J30-N,J30-A,J30-R,J30-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J31,Admin,Customer reputation and crisis response,Negative feedback creates an owned action before SLA expiry.,"Negative survey, sentiment signal, assigned responder","Negative survey, sentiment signal, assigned responder",Detect; triage; draft response; approve; deliver; close incident,Customer response and incident history linked to source,Complaint3 failures; external review channels need credentials,complaint-alert.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J31-P,J31-N,J31-A,J31-R,J31-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J32,Admin,Tenant and role isolation,A customer or editor tries to change another business's data.,"Two tenants, owner/admin/editor/customer identities","Two tenants, owner/admin/editor/customer identities",Exercise read/write/export endpoints across roles; revoke role; retry,"No cross-tenant exposure, forbidden actions audited",Global registry flags are not security certification; explicit cross-tenant tests required,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J32-P,J32-N,J32-A,J32-R,J32-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J33,Admin,"Import, export and rollback",An administrator imports duplicate and malformed records.,"CSV with valid, invalid and duplicate rows; rollback marker","CSV with valid, invalid and duplicate rows; rollback marker",Preview; validate; import; retry; export; rollback only test rows,Deterministic row outcomes with no silent corruption,Fresh import validation/rollback demo evidence absent,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J33-P,J33-N,J33-A,J33-R,J33-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J34,Pipeline,Scheduled-job outage recovery,A worker stops between writing data and acknowledging a job.,"Queued job, forced timeout, duplicate webhook, dead-letter policy","Queued job, forced timeout, duplicate webhook, dead-letter policy",Start; interrupt; restart; retry; reconcile; inspect dead-letter handling,"Exactly-once business effect, bounded retries and useful alert",Job existence is not recovery proof; most modules lack documented job/evidence,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J34-P,J34-N,J34-A,J34-R,J34-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J35,Pipeline,Demo data and test orchestration,A presenter resets a demo tenant before a customer meeting.,"Versioned fixture pack, isolated tenant, declared18 cases","Versioned fixture pack, isolated tenant, declared18 cases",Seed; verify links; run suite; capture evidence; reset; rerun,Repeatable demo and retained tests/results/logs/cleanup receipt,Four orchestration suites and18 cases exist but zero executions/results,demo-showcase-hub.spec.ts,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J35-P,J35-N,J35-A,J35-R,J35-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
J36,Agentic,Local coding after cloud quota,A developer continues a code task using local Ollama.,"Small isolated repository, failing test, local model, cloud unavailable","Small isolated repository, failing test, local model, cloud unavailable",Select local endpoint; propose patch; edit; run test; review diff,Actual file change and passing test without a cloud request,Local Aider edit previously verified; automatic cloud-to-local session migration not established,No direct mapped suite established,Named user executes/reviews each step; record approvals and exception handling,"Trace queued/dependent steps with correlation ID, retry and durable outcome; if synchronous mark N/A","Optional only where real planner/tool exists; require bounded tools, approval, trace and final-state assertion; otherwise NOT IMPLEMENTED/NOT VERIFIED","J36-P,J36-N,J36-A,J36-R,J36-O",NOT_RUN for this proposed acceptance pack,"build_sha, environment, run_id, role, fixture_id, correlation_id, expected/actual, screenshot/trace, DB assertion, external receipt, cleanup"
